Title,Location,Company,Salary_per_year,Summary
Stage Bac+ 5 – Ingénieur développement FPGA F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
Ingénieur d’Application/Support Technique (FAE) F/H,Chatou (78),MACNICA ATD EUROPE,None,Vous aurez en charge le support technique auprès de nos clients et de l’équipe commerciale pour développer l’intégration des produits de nos partenaires.
Stage Implémentation & validation IP High Speed Ethernet Subsystem sur cible FPGA H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Stage 2021- Ingénieur Electronique/Informatique pour le spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
STAGE 2021 – Mise en œuvre d’un composant crypto sur équipement spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
Responsable technique plateforme de test H/F,Le Plessis-Robinson (92),MBDA,None,"MBDA, au cœur de notre défense… Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d…"
Ingénieur électrotechnique/ électronique de puissance,France,Jeumont Electric,None,"Altawest est un groupe entrepreneur spécialiste des technologies de l’efficacité énergétique et environnementales, exerçant ses activités à destination des…"
ARCHITECTE FPGA ASIC F/H,Nice (06),Progressive,None,"Leader sur un marché spécifique,."
Stage - Implémentation d'un détecteur d'erreur de phase optimisé pour les faibles SNR H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Ingénieur(e) en électronique/systèmes embarqués - FPGA - CPL Intelligent H/F,Montigny-le-Bretonneux (78),Expleo,None,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale."
Ingénieur(e) Développement Logiciel - Toulouse,Toulouse (31),LGM Group,None,"Maintenant que tu as parcouru notre site et bien compris les activités du groupe, voici un focus sur l’entité qui te concerne !"
"Urgent, CDD 4 mois ingénieur électronique ou technicien expérimenté",Saint-Martin-d'Hères (38),ID Partner,27600,"ID partner est une TPE Grenobloise en pleine évolution dans le monde de l’électronique, électrotechnique, automatique, appliquée à des situations concrètes."
Stage Bac+ 5 – Ingénieur développement FPGA F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
Ingénieur d’Application/Support Technique (FAE) F/H,Chatou (78),MACNICA ATD EUROPE,None,Vous aurez en charge le support technique auprès de nos clients et de l’équipe commerciale pour développer l’intégration des produits de nos partenaires.
Stage Implémentation & validation IP High Speed Ethernet Subsystem sur cible FPGA H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Stage 2021- Ingénieur Electronique/Informatique pour le spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
STAGE 2021 – Mise en œuvre d’un composant crypto sur équipement spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
Responsable technique plateforme de test H/F,Le Plessis-Robinson (92),MBDA,None,"MBDA, au cœur de notre défense… Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d…"
Ingénieur électrotechnique/ électronique de puissance,France,Jeumont Electric,None,"Altawest est un groupe entrepreneur spécialiste des technologies de l’efficacité énergétique et environnementales, exerçant ses activités à destination des…"
ARCHITECTE FPGA ASIC F/H,Nice (06),Progressive,None,"Leader sur un marché spécifique,."
Stage - Implémentation d'un détecteur d'erreur de phase optimisé pour les faibles SNR H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Ingénieur(e) en électronique/systèmes embarqués - FPGA - CPL Intelligent H/F,Montigny-le-Bretonneux (78),Expleo,None,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale."
[STAGE] Traitement vidéo embarqué FPGA - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
[STAGE] Développement d'un simulateur de capteur en FPGA pour train autonome - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
[STAGE] Développement de briques VHDL sur FPGA H/F - Toulouse,Toulouse (31),LGM Group,None,"Dans le cadre de notre programme de R&T et d’innovation dans l’électronique spatiale, vous développerez des modules VHDL sur une nouvelle famille de FPGA…"
Techniciens en électronique,Évry (91),REFLEX CES,19440,A la recherche d’un nouveau challenge ?
Ingénieur développement FPGA (26) F/H – 102020/PSR/SOZ,Valence (26),SERMA INGENIERIE,None,"Dans le cadre du développement de notre activité, nous recherchons à renforcer nos équipes en intégrant un Ingénieur développement FPGA F/H."
Responsable de Projet FPGA -- 102020/PST/KQN,Toulouse (31),Serma Ingenierie,48000,Responsable de projet fpga -- 102020/pst/kqn ou similaire: 10 ans (Souhaité).
Ingénieur Logiciels embarqués F/H,Boulogne-Billancourt (92),ADENTIS,None,"Intégré(e) au sein d'une équipe projet, vous intervenez sur les différentes phases du cycle de développement, de l'analyse fonctionnelle aux phases de…"
Ingénieur logiciel embarqué H/F,Élancourt (78),ABMI,None,"Depuis 35 ans, ABMI s’engage pour la conception de produits de qualité et pour l’optimisation de la performance des processus et des installations industrielles…"
Ingénieur FPGA - 092020/PST/SCH,Toulouse (31),SERMA INGENIERIE,None,Ingénieur fpga ou similaire: 2 ans (Souhaité).
Ingénieur développement FPGA H/F,Vélizy-Villacoublay (78),Altran,None,"La division Aeronautics, Spatial & Defence - Railway (ASD-R) de la région Ile-de-France intervient dans quatre grands domaines : l’aéronautique, le spatial, la…"
Alternant en Electronique H/F,Rosny-sous-Bois (93),Conduent,None,Conduent delivers mission-critical services and solutions on behalf of businesses and governments – creating exceptional outcomes for its clients and the…
INGENIEUR DEVELOPPEMENT FPGA,Toulouse (31),Médiane Ingénierie,None,"Au sein du service électronique numérique, vous êtes chargé du développement des FGPA."
Ingénieur développement FPGA – 092020/PST/SCH,Toulouse (31),SERMA INGENIERIE,None,"Dans le cadre de votre fonction, vos missions seront les suivantes :"
FPGA Design Engineer (H/F) – La Ciotat,La Ciotat (13),Genwaves,None,FPGA DESIGN ENGINEER (H/F).
Développement Python-3 H/F,Clamart (92),Sogetek,None,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Ingénieur architecture radiofréquence H/F,Montigny-le-Bretonneux (78),ATERMES,60000,Vous serez rattaché(e) au Chef de service Électronique.
Ingénieur Développement Spécialité Electronique,Île-de-France,NEXEYA,None,"Dans le cadre du renforcement de son activité dans les systèmes électroniques embarqués (calculateur et écrans durcis), vous intègrerez l’établissement de Massy…"
INGÉNIEUR TRAITEMENT DU SIGNAL H/F,Saint-Aubin-lès-Elbeuf (76),ARELIS,None,"ARELIS, un des fleurons industriel français, est le partenaire de référence pour concevoir et réaliser des sous-systèmes hyperfréquence duaux."
Ingénieur FPGA H/F,Toulouse (31),Expleo,None,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale."
Stage ingénieur : Développement logiciel C embarqué sur SoC (f/m),Caen (14),NXP Semiconductors,None,"(NASDAQ: NXPI) enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer."
Ingénieur Bureau d'Etude électronique & systèmes embarqués (H/F),La Seyne-sur-Mer (83),SNEF,None,Nous recherchons un.e Ingénieur.e B.
Casque instrumenté : capteurs piézoélectriques souples & innovants pour interface tactile. H/F,Grenoble (38),CEA - Commissariat à l'Energie Atomique,None,L’objectif du stage est de concevoir et de réaliser des cartes électroniques spécifiques à des dispositifs de capteurs flexibles piézoélectriques innovants …
Architecte Système & Electronique F/H,Fontenay-aux-Roses (92),Groupe AMETRA,None,"Au sein de notre bureau d’étude, sous la responsabilité du chef de projet, votre rôle sera de piloter et réaliser les activités systèmes et conception pour des…"
Ingénieur expérimenté FPGA. JCU,Guyancourt (78),SERMA INGENIERIE,None,"Dans le cadre d’un projet aéronautique, nous recherchons un(e) Ingénieur(e) FPGA."
Chef de Projet Electronique #FPGA @EVRY,Évry (91),My Tech Agency,45000,(nom) féminin /tɛk/ : cabinet startup en recrutement spécialisée sur les métiers de l’ingénierie industrielle qui transforme les modes de recrutement classique.
Ingénieur Logiciel C++ IA,Paris (75),Sept Lieues,None,Entreprise française d'une dizaine de personnes proposant un système innovant d'accélérateur de calculs destiné à l'Intelligence Artificielle.
Engineering Internship,Sophia Antipolis (06),Arm,None,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin,…"
Expert Layout/PCB (H/F),Les Clayes-sous-Bois (78),Atos,None,Atos est un leader international de la transformation digitale avec 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de 12 milliards d’euros.
Stage Data Extraction & Profiling de données H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Electronic Technicians,Évry (91),REFLEX CES,None,A la recherche d’un nouveau challenge ?
Stage Bac+5 - Ingénieur développement FPGA &Sécurisation réseaux IP F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
Développeur FPGA H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Gestionnaire de bases de données H/F,Le Plessis-Robinson (92),MBDA,None,Venez partager et développer vos compétences avec nos 3000 collaborateurs sur notre site du Plessis-Robinson !
Ingénieur Electronique F/H,Paris 8e (75),"SEPT LIEUES, NEXT MONDAYS",None,"Rattaché.e au directeur technique, au sein d'une équipe R&D de 8 personnes ."
Gestionnaire de bases de données H/F,Le Plessis-Robinson (92),MBDA,None,Venez partager et développer vos compétences avec nos 3000 collaborateurs sur notre site du Plessis-Robinson !
Ingénieur Electronique F/H,Paris 8e (75),"SEPT LIEUES, NEXT MONDAYS",None,"Rattaché.e au directeur technique, au sein d'une équipe R&D de 8 personnes ."
Ingénieur Développement logiciel Labview (RHAPO0907) F/H,Achères (78),EMC,None,"Dans le cadre de notre développement, au sein de notre Business Unit Bancs de test et sous la Responsabilité du Responsable du Bureau d'études, vous intervenez…"
Expert Electronique Layout/PCB (H/F),Les Clayes-sous-Bois (78),Atos,None,Atos est un leader international de la transformation digitale avec 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de 12 milliards d’euros.
ÉLECTRONICIEN FPGA (H/F),Aix-en-Provence (13),Fortil,None,Il s’agit d’un poste pour un projet complexe en électronique.
Ingénieur électronique numérique H/F,Aix-en-Provence (13),Atos,None,Atos est un leader international de la transformation digitale avec 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de 12 milliards d’euros.
Technicien CAO Electronique F/H,Palaiseau (91),GROUPE CENTUM ADETEL,None,"Depuis plus de 25 ans, CENTUM ADENEO apporte conseil et expertise à ses clients dans le domaine de l’électronique embarqué."
Ingénieur électronique analogique RF F/H,Palaiseau (91),GROUPE CENTUM ADETEL,None,"Depuis plus de 25 ans, CENTUM ADENEO apporte conseil et expertise à ses clients dans le domaine de l’électronique embarqué."
Ingénieur FPGA Test & Caractérisation,Saint-Cloud (92),Sept Lieues,40000,Entreprise pionnière dans le développement et l'intégration d'architecture FPGA à destination des secteurs du spatial et de la défense.
STAGE – ELECTRONIQUE NUMERIQUE FPGA F/H,Cornebarrieu (31),SERMA INGENIERIE,None,"Dans le cadre du développement de nos activités, nous cherchons aujourd’hui à renforcer nos équipes en intégrant un(e) STAGIAIRE INGENIEUR(E) FPGA (F/H)."
Développement Python-3 H/F,Clamart (92),Sogetek,None,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Chef de Projet FPGA -- 102020/PST/KQN,Toulouse (31),Serma Ingenierie,40000,"Le groupe SERMA* (CA de 140M€, plus de 1300 collaborateurs), dans le cadre du fort développement de sa filiale SERMA Ingénierie, recherche aujourd’hui à…"
(H/F) Electronicien - ne,Toulouse (31),CNRS,23160,Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler.
